,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
1,1,36,42.21279641490776,2.702228905139769,14.916666666666666,453.5,1.3934152312546644,3,69.06571428571431,0.9217384696321276,0.6255658950271934,,0.031,200.0,1410.0,0.0,0.0,570.0
9,10,50,61.1433039575827,1.6175231530496221,108.3,393.5,-1.234636490875168,23,60.914384982062984,0.9944333128074656,0.5894581772764331,7.098745422531567,0.031,200.0,1410.0,0.0,0.0,570.0
12,13,40,46.53148493115482,2.420931659859882,145.1,316.5,1.4465188495948704,29,106.48238195912614,0.8857415098907817,0.7738066179167697,4.933239457430427,0.031,200.0,1410.0,0.0,0.0,570.0
14,15,23,33.95843975787026,1.3145192632731708,209.82608695652175,307.69565217391306,-0.8306401152556842,37,64.72727272727272,0.95703667466229,0.9713303420546588,2.8813009903529774,0.031,200.0,1410.0,0.0,0.0,570.0
16,17,24,28.413916608681472,1.5489812635713527,226.5,28.875,0.22675406436503945,41,25.26521008403362,0.9684825330454885,0.7883338839204167,3.7869871355083347,0.031,200.0,1410.0,0.0,0.0,570.0
17,18,17,20.443031289062915,1.2750389443269354,225.0,380.88235294117646,-0.28946435510376106,42,169.62499999999957,0.9244469979890835,0.6356738739528967,1.6355249908216947,0.031,200.0,1410.0,0.0,0.0,570.0
18,19,42,59.60301239757517,1.9720741364883572,244.21428571428572,316.5,-0.9496561092273644,43,75.08065168370376,0.8016825947921735,0.4899746542766713,6.306971041076199,0.031,200.0,1410.0,0.0,0.0,570.0
21,22,18,20.922009499221986,2.7573269388664166,260.5,212.83333333333334,0.12850407901176583,49,70.12789964088127,0.9489762394892222,0.8149038983617387,2.3168960741918645,0.031,200.0,1410.0,0.0,0.0,570.0
22,23,38,54.959857513998145,2.2701705287020446,278.3421052631579,290.10526315789474,0.8358229831858679,52,40.54696969696969,0.9607412874523727,0.768545810965393,4.4154831185846835,0.031,200.0,1410.0,0.0,0.0,570.0
26,27,14,19.672217912505168,1.5198568524339011,358.57142857142856,326.64285714285717,-0.6497316332227883,69,28.054765291607406,0.8477078994863252,0.7765835641735924,2.310415571898833,0.031,200.0,1410.0,0.0,0.0,570.0
27,28,43,66.35141699365876,2.321626516734557,379.69767441860466,149.86046511627907,0.7710143798965947,70,44.770756302521015,0.9710603461429634,0.8909539326915212,7.60223422069566,0.031,200.0,1410.0,0.0,0.0,570.0
31,32,25,28.986272370129015,1.0796360890111758,399.12,337.0,1.4717514909180331,76,35.257647058823515,0.9359386126472411,0.8415466737355011,3.539577911743282,0.031,200.0,1410.0,0.0,0.0,570.0
32,33,54,62.561053631628965,1.2838131414655614,426.5,293.537037037037,-0.0835076943826659,78,53.51075630252097,0.983557218524251,0.7993674412678854,6.887169713173706,0.031,200.0,1410.0,0.0,0.0,570.0
39,40,35,51.36895590881042,1.9834420354722326,474.0857142857143,334.22857142857146,0.8672586080506762,91,59.15683257918551,0.8030328769674351,0.8376688902943757,5.027481206418181,0.031,200.0,1410.0,0.0,0.0,570.0
41,42,9,11.720850816141239,1.1350430883574245,504.0,243.0,1.0757763401812834,94,34.67692307692305,0.9171178675551852,0.747055393586004,1.9100612270093231,0.031,200.0,1410.0,0.0,0.0,570.0
