,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
0,0,27,36.35577307351772,2.031949917766305,13.148148148148149,329.0,-1.0284044018521237,1,95.45454545454544,0.9033611111111112,0.9266874923932004,2.7898577017331982,0.031,200.0,1410.0,0.0,0.0,380.0
6,6,45,50.74063381453979,3.118314058576653,119.8,417.4888888888889,-0.023241785071349018,13,135.85318233212968,0.9495509985146071,0.8983897806928198,4.5415410364224496,0.031,200.0,1410.0,0.0,0.0,380.0
7,7,35,40.407243558676335,3.5353570714233555,116.0,496.0285714285714,-0.021449522674543038,15,47.64285714285715,0.9730789955934812,0.9599408013079295,3.409843192007341,0.031,200.0,1410.0,0.0,0.0,380.0
9,9,12,14.482067654594163,1.3510262778025557,103.16666666666667,255.5,1.263156652804221,17,30.840909090909093,0.8236330556353538,0.641975308641975,2.0200511880481855,0.031,200.0,1410.0,0.0,0.0,380.0
11,11,27,32.91060062992876,2.28027112653931,113.4074074074074,311.0,1.2419230625347184,20,29.424537815126033,0.967550889722757,0.8219047601041923,4.159508988240301,0.031,200.0,1410.0,0.0,0.0,380.0
16,16,26,37.75431416066319,2.1169753761330012,161.6153846153846,235.84615384615384,0.7886963564974474,29,50.19,0.9187994037348916,0.867614557713638,4.196708473760927,0.031,200.0,1410.0,0.0,0.0,380.0
18,18,45,69.75978111346832,2.540457961728543,198.22222222222223,184.46666666666667,0.7848649083036581,36,50.441512605041964,0.9879873195111752,0.9468069773863484,5.653906608622461,0.031,200.0,1410.0,0.0,0.0,380.0
20,20,41,49.82481690152216,3.3243008100257714,226.609756097561,199.0,1.2521837678374501,46,64.89092436974789,0.9056763299377021,0.9103007811159818,4.391106565170041,0.031,200.0,1410.0,0.0,0.0,380.0
24,24,61,70.56761506683762,4.475372297935627,326.0,185.7377049180328,-0.06320669934895717,59,131.08070486162427,0.8384034700119511,0.4921439354723469,8.443785558450035,0.031,200.0,1410.0,0.0,0.0,380.0
25,25,31,37.472120244956066,2.1461764219491286,308.1290322580645,304.0,1.2683580515637993,61,210.2569930069929,0.8325271934084693,0.6353516613256865,2.9308386878867023,0.031,200.0,1410.0,0.0,0.0,380.0
27,27,20,23.87249234208222,1.7041447641634544,327.5,466.5,-0.26149814386562786,63,26.482857142857146,0.9546547876765741,0.9151145286404437,2.243657272709306,0.031,200.0,1410.0,0.0,0.0,380.0
29,29,38,47.0918819205107,5.52857879571835,384.0,179.5,0.5174252947480507,73,49.322695035461024,0.8758981188495225,0.922027658410057,3.8269153893763614,0.031,200.0,1410.0,0.0,0.0,380.0
30,30,35,39.74865313345667,5.116966834595377,388.7142857142857,75.85714285714286,1.0726730476263528,76,15.245714285714289,0.9169755892844653,0.8643205921003478,5.982734570001904,0.031,200.0,1410.0,0.0,0.0,380.0
31,31,14,21.314842347537137,1.7035214984131481,392.2857142857143,154.35714285714286,-0.7985102074918103,77,50.90441176470591,0.8238687578871464,0.7421808960270504,2.7116155915680977,0.031,200.0,1410.0,0.0,0.0,380.0
32,32,41,47.77900436660166,5.037237473797699,415.390243902439,155.21951219512195,-0.9770363899622526,79,80.72017094017095,0.8044710083325884,0.9799172626555572,4.5518787453074,0.031,200.0,1410.0,0.0,0.0,380.0
35,35,35,40.220598141450445,3.934335439185946,451.54285714285714,232.34285714285716,1.2694150199398406,89,58.34146341463411,0.8931282359467455,0.8930120627477326,3.7794475730824186,0.031,200.0,1410.0,0.0,0.0,380.0
36,36,12,17.45059366513467,1.0160395119862833,462.25,387.9166666666667,-0.769286526046766,92,49.6416666666667,0.9383978573167762,0.3999999999999858,2.2901244523394935,0.031,200.0,1410.0,0.0,0.0,380.0
39,39,20,18.840378009100657,6.942633252174309,471.25,143.7,-0.6213684189594413,95,26.219621234137357,0.8609606025408819,0.8855606640609739,2.2724771477801573,0.031,200.0,1410.0,0.0,0.0,380.0
41,41,30,35.784746379106906,3.9892541665350656,482.56666666666666,236.5,1.313512672477008,99,59.280555859503224,0.9818193138438917,0.8974526812282553,3.0471156758488407,0.031,200.0,1410.0,0.0,0.0,380.0
