Species,parent,child,variant
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,1420uMADP_1
ADP,1_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,0uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,100uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,200uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,300uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,470uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,800uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,1000uMADP_2
ADP,2_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_50uMATP_1uMmicro_1400nM_A81D_2,1420uMADP_2
ADP,2_ADP_variation_at_100uMATP,,100uMADP_2
ADP,2_ADP_variation_at_100uMATP,,200uMADP_2
ADP,2_ADP_variation_at_100uMATP,,300uMADP_2
ADP,2_ADP_variation_at_100uMATP,,470uMADP_2
ADP,2_ADP_variation_at_100uMATP,,800uMADP_2
ADP,2_ADP_variation_at_100uMATP,,1000uMADP_2
ADP,2_ADP_variation_at_100uMATP,,1420uMADP_2
ADP,2_ADP_variation_at_100uMATP,,5000uMADP
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,100uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,200uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,300uMADP
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,470uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,800uMADP
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,1000uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,1420uMADP_2
ADP,2_ADP_variation_at_500uMATP,Nikon_10X_bin1_20sFrameInterval__100ms480_150ms405_500uATP_1uMmicro_1400nM_A81D_2,5000uMADP_500uMATP_1
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,100uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,200uMADP_2
