,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
4,4,22,32.00233871226521,1.0828808775845717,169.54545454545453,299.27272727272725,0.6702451084885902,22,12.381344537815153,0.9356102405165938,0.6960557099202616,4.808837824280687,0.0625,400.0,176.0,0.0,0.0,860.0
12,12,21,28.37834456544744,1.6504488763506941,307.0,471.14285714285717,0.5491470122133627,46,66.70881226053642,0.9913872984683684,0.9399334490686592,2.2673381036158813,0.0625,400.0,176.0,0.0,0.0,860.0
13,13,23,33.539756003249224,1.5890943737574725,367.30434782608694,494.9130434782609,-0.8861623311603621,48,40.909075630252104,0.9679045396196777,0.936707370036748,2.879593871823323,0.0625,400.0,176.0,0.0,0.0,860.0
14,14,24,30.65809114342801,2.1469106220425243,372.9583333333333,21.083333333333332,-0.560839764111853,49,52.94789343546977,0.9924298405945129,0.9773758232797255,1.6864002231527953,0.0625,400.0,176.0,0.0,0.0,860.0
17,17,33,43.49686240909258,1.440909586306783,401.7878787878788,204.03030303030303,1.0571038292869712,54,34.175294117647056,0.986065426296524,0.8956995182291316,4.9903466233891836,0.0625,400.0,176.0,0.0,0.0,860.0
18,18,27,40.60569073071036,1.40187740350879,420.74074074074076,127.4074074074074,-0.7456548086852318,56,39.494285714285674,0.8877515973263702,0.8609305650304366,4.528076154719364,0.0625,400.0,176.0,0.0,0.0,860.0
19,19,51,48.420347814865046,12.921750949128382,432.05882352941177,161.7058823529412,1.0344208607518175,57,105.14948066147336,0.9608855535953285,0.9223040916409311,4.346531297765489,0.0625,400.0,176.0,0.0,0.0,860.0
20,20,17,21.329300568200964,1.2597177574502205,422.2352941176471,233.0,-1.1641064263934124,58,68.1773076923077,0.9852243976040277,0.9708859625548688,1.7485266689616776,0.0625,400.0,176.0,0.0,0.0,860.0
21,21,49,61.258194824387765,3.1537047110699437,452.0,409.83673469387753,0.3943861887706918,59,138.03478991596637,0.9409124923839984,0.9672145029344338,6.289173982091647,0.0625,400.0,176.0,0.0,0.0,860.0
