,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,label,perimeter,proj#,speed (nm/s),r^2,num points
0,0,21,28.442288044597227,1.5583776941404843,15.0,320.3809523809524,-0.5527093078570378,0.9984978520824371,1,23.970562748477143,0.0,35.65978501716094,0.8796380608625406,100
29,29,21,30.885393779717262,1.3186013708485054,234.0,313.2857142857143,0.7010948982576356,0.9990882226497256,36,25.213203435596427,0.0,46.82133576259182,0.9045278492742604,88
49,49,21,26.839301237598054,1.338842278473693,409.0,158.23809523809524,0.44596168609621073,0.9987550358205072,64,22.935028842544405,0.0,60.12342378011056,0.8029695188624791,78
89,25,20,29.959436867617015,1.2618013216312176,235.55,314.5,0.7092313306916307,0.9991126858872533,39,24.213203435596427,1.0,51.0808618384364,0.9059820440955828,88
111,47,26,34.733928056252836,4.1982434064989524,410.5,159.76923076923077,0.5325286303861336,0.992668507897694,70,30.420310216782973,1.0,52.548262914068076,0.9339331900147705,100
112,48,30,41.76421961744093,2.5817659269805158,408.5,222.46666666666667,0.9667545640434518,0.9980874601459929,71,35.87005768508881,1.0,37.958690364991895,0.821983577850711,91
148,22,18,17.75087572629092,4.950893780054334,211.05555555555554,126.22222222222223,-1.3001348266149428,0.9603172940196456,29,17.692388155425117,2.0,86.27566161912117,0.8794159390219881,100
152,26,22,29.677411812290774,2.7111624218078663,240.5909090909091,318.09090909090907,0.5827559589301264,0.995818443254187,34,25.17766952966369,2.0,59.57833628859193,0.8172873362868354,93
160,34,21,23.946455815696496,2.3075145679730635,312.3333333333333,372.04761904761904,-1.52333863804788,0.9953464100898833,49,20.65685424949238,2.0,107.7531611080142,0.8539397458939667,95
173,47,26,36.323601347931316,1.5702890185468954,417.5,163.69230769230768,0.5996221632506569,0.9990651230683358,65,30.83452377915607,2.0,56.812123521743,0.8738752514502575,97
212,24,26,29.10614641707721,5.888836438025528,245.8846153846154,322.5769230769231,0.5927106931517637,0.9793188923805196,37,29.041630560342618,3.0,40.90426386683071,0.859350494181581,89
235,47,24,32.46253421693472,1.3188736747309422,425.5,168.66666666666666,0.5497013964933435,0.9991743596954868,71,27.384776310850235,3.0,59.6376764797763,0.94525472696522,97
291,48,27,36.038398955919824,2.172101668813751,431.0,171.7037037037037,0.5276826841697391,0.9981819983252447,69,31.006096654409877,4.0,50.570881476083954,0.9152001682508888,96
