,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
26,26,47,54.538353660837494,2.8917130581826247,298.0,347.8510638297872,-0.1014659084532733,43,52.94787330316743,0.9663508647158903,0.5590122840721568,5.179863614939373,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
27,27,38,41.77087597184962,3.5168786984786182,304.05263157894734,183.55263157894737,0.11048258450951119,44,82.72509578544063,0.9775173448274028,0.9854376682219207,4.597544866772287,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
28,28,39,46.279899163495514,1.4151406624538498,305.56410256410254,320.0,1.3366750777619532,45,56.5831221719457,0.9887189425271404,0.9297657806163632,4.2849631050410135,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
29,29,45,68.6254692243674,1.5741071251911194,326.3333333333333,124.24444444444444,0.7507858811397271,46,66.4398190045249,0.9972018633938647,0.9496273676926701,6.705263165897101,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
30,30,41,47.37657808095708,2.6913401055687296,359.0,241.53658536585365,0.045063023057130204,49,62.61411764705887,0.9913397761474442,0.9533021327534973,3.999961457744302,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
31,31,47,54.71528522757317,1.333955252814969,363.0,224.27659574468086,-0.12932501289024842,50,54.528733031674165,0.8817531150774791,0.9339584579327265,6.130833227004347,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
33,33,22,25.857981063464194,1.1892863819899469,363.5,120.9090909090909,-0.19335373856918459,53,51.98157294832829,0.9718404891205339,0.9396205450903216,2.1683369054305874,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
36,36,42,60.22749285127782,1.586690131973295,400.5,441.95238095238096,0.6353615807475053,57,54.2446153846154,0.990317656933244,0.9496181316438507,6.084784029591983,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
37,37,41,49.63487020850304,1.2258875856149722,408.3170731707317,192.0,1.2646662928556245,59,76.53692307692307,0.994456248335161,0.9745762075434291,3.6983699465747013,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
38,38,45,63.23433560033289,3.7623917004916705,431.15555555555557,29.044444444444444,-0.9548718826609596,60,40.77452488687787,0.9367246019165492,0.9101540099571079,6.0982761548954825,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
41,41,35,41.779646209899354,1.47770482682925,460.0,205.71428571428572,-0.2580537003961731,65,40.36656108597282,0.9891230237081468,0.8547457402301681,4.119234504241723,NCD_YFP_ilid,0.001,0.04,100.0,0.0,30000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
