,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,16,19.035587037620264,1.1817047571975552,8.375,289.5,1.3192988626108297,4,29.766787330316706,0.9465279330101942,0.9298204158790172,2.94619720093973,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,24,30.250782894199055,1.764187209526231,36.5,355.1666666666667,0.41527771980098305,6,43.368009049773775,0.9732880311944282,0.9335151783559537,2.374359542194318,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
3,3,15,20.491819711614163,1.1608389763113118,29.933333333333334,409.0,1.0024801175827354,8,27.92366515837101,0.9932268069817298,0.8321919716974037,2.6821501552081135,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,27,32.40947556234823,1.2599543620320128,34.25925925925926,49.0,-1.2914988873722069,9,28.958144796380097,0.9648679508985668,0.8673208599284334,5.147582016260847,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,22,26.582248062911674,2.0317208407458187,44.54545454545455,397.90909090909093,0.33788491958826344,11,63.31818181818181,0.9861136690337973,0.9714069021741553,2.141150247639641,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,8,12.454646675551931,0.7948434985348896,51.625,495.5,0.825087320677235,13,16.394512195121948,0.89458760967241,0.8989310009718173,2.1272810338991244,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,32,37.383741069218225,1.3929388606993374,80.5,350.03125,-0.15566187716958302,16,50.8934841628959,0.9900294638600337,0.9025393913216696,4.256323224794194,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,44,59.59627720218529,1.4354801093789296,101.6590909090909,119.5,-1.0201821797932547,19,51.49814479638007,0.9966626016895493,0.9533315820122078,6.1888831676517135,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,28,34.831115006305524,1.219551134040054,102.5,290.7857142857143,0.3829804658922275,20,49.02850678733029,0.9966521610819061,0.941508819219045,2.9435829410420595,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,92,100.98304270453059,6.5607342259053745,138.5,269.8369565217391,-0.10009597814840936,21,29.77509486385655,0.9275312514537015,0.9015564015401517,13.1378038394286,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,21,24.672821544959746,1.7392871071090084,104.0,437.6190476190476,-0.19211067561757772,22,49.53846153846151,0.9829318050749711,0.9806753347530818,2.198923242090671,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
16,16,37,44.247853605524455,2.3425559070610475,126.21621621621621,115.0,-1.3058512042955979,25,46.427737556561134,0.9730197992641281,0.9039051062328164,6.024122715884485,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
18,18,18,22.43468221317062,1.883940424989571,134.11111111111111,487.44444444444446,1.1406115814344369,28,40.2937104072398,0.9794726355288785,0.9244594072630586,1.5500076300580974,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
19,19,25,36.43568417744556,1.3968960310072251,167.16,136.0,0.8901180143966252,29,37.05185520361989,0.9723421200443472,0.9711505615651363,5.05952590993773,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
20,20,9,10.608587857433413,1.1115941025815685,163.0,322.3333333333333,-0.23182380450040305,31,34.92045454545455,0.824663632920128,0.6319526627218932,1.4011046783502006,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
21,21,13,17.418213661234667,1.2074368958645996,197.0,31.153846153846153,-0.5384274789376576,34,36.43990950226243,0.9815455931448559,0.9799992606592874,1.0127244150055659,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
22,22,33,41.39517258904762,1.2643368473789631,203.87878787878788,180.0,1.1681320696621524,36,62.85556561085972,0.9951284562120776,0.9575802971635257,3.6827443320320543,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
23,23,22,28.019437613849657,1.206884563262623,211.0,17.5,1.132589058974683,38,41.18977375565614,0.970159978481624,0.8915705767736287,2.511860382282147,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
25,25,32,36.94729866892664,1.5831917347975477,211.34375,251.5,-1.542342616355453,41,68.15180995475112,0.9951973557604641,0.9947128033246676,2.2059344253957907,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
26,26,33,42.52304841124744,3.1994741452999684,241.63636363636363,30.818181818181817,0.6176773974594001,45,24.57981900452488,0.9794249340031461,0.9347237053777404,4.915576684406221,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
28,28,48,57.08068083464634,1.2433323985317302,299.375,325.5,1.3284608280931613,50,46.80656108597278,0.994551721701565,0.9704393088276028,7.3023414021539335,NCD_YFP_ilid,0.001,0.04,40.0,0.0,10000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
