,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,21,33.060235890647355,0.7318074089387662,12.523809523809524,61.0,-0.8219628786446432,1,81.57550607287455,0.9735667844478223,0.9733102152811675,1.513918615810078,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
1,1,29,35.807826860927975,2.1024331506560325,20.0,331.0,-1.206506999316334,4,70.46117647058823,0.96945264404756,0.9776334475444133,2.4640746465639745,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
3,3,60,71.0021522517738,3.7483237815707464,100.5,266.5833333333333,0.22149902411488764,8,101.29663865546223,0.9919589460945597,0.9878625870216509,5.387316789330101,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,69,76.75945756314246,4.6106047642853145,108.81159420289855,290.39130434782606,-0.21082857410138484,9,59.12739495798316,0.9617247200569843,0.8395066761745609,5.961922029277766,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,24,30.207644045342875,1.3116643824101475,111.5,96.83333333333333,-0.4116816689323184,11,56.412680756396,0.9422499034181575,0.8858012771082324,3.5397825329454657,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
7,7,47,61.281367221784585,3.618035866849735,146.85106382978722,180.0,-1.086440361025374,15,109.25966386554619,0.9925917233065831,0.9873609254737601,4.724050035726689,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,14,18.37733657075168,1.2729647838110631,152.5,142.42857142857142,-0.5016703112146976,18,90.90909090909093,0.984251,0.9856297548605241,1.7659199818809352,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,28,41.3286094834973,1.256459797128763,209.5,31.571428571428573,-0.6736068543862662,21,66.86046511627906,0.9262967272727273,0.8739272257910001,4.945537034703269,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
11,11,74,85.67779406600098,1.7057163065210217,233.5,173.75675675675674,0.07453047463500104,22,106.4287153892754,0.993633540973559,0.6222501542415815,7.963949555360945,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,13,15.592948355476372,1.2993705977551562,210.92307692307693,95.0,1.285386739660795,24,67.08333333333327,0.9866666666666667,0.5416666666666661,2.1427612991431593,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,41,51.44635551546491,1.2876292194771457,244.0,471.2926829268293,0.4029489919572094,27,66.96672268907562,0.9733916232499524,0.9259240722778509,4.725485362915233,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
14,14,31,39.44574656941534,1.0852274325767615,270.0,218.03225806451613,-0.4348796528199082,29,78.84512195121953,0.9808359470044564,0.9619957132337322,3.0614102323471597,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
17,17,17,26.27288981939961,0.8833137815353974,397.47058823529414,384.0,-0.8413208822759215,40,76.23823529411771,0.91130743412677,0.9572259237450661,2.9930305221845637,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
19,19,50,63.796806979925485,1.4275220370034087,448.16,234.5,-1.1307966589750924,44,98.95997181113462,0.988842719081248,0.9827381828272672,5.369916942054464,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
20,20,19,26.212530440167743,1.017944945563859,477.7894736842105,457.0,-0.9891249522330622,45,64.97500000000005,0.9204061920797767,0.8943589743589732,2.4760421762950275,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
21,21,13,15.291569899474988,1.2364613843677563,485.0,474.53846153846155,-0.20720867319928388,46,47.91666666666663,0.8239999999999998,0.6666666666666667,2.448886936925183,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
