,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,num points,skele r^2
0,42,52.30749361005228,1.3927374758066966,22.071428571428573,154.5,1.1859160359313727,1,31.82117647058826,0.9687581763474621,51,0.750142983131425
1,15,18.254140235080474,1.1980205202353913,72.13333333333334,398.0,-1.242229766619475,7,16.001604278074865,0.8551909162289281,34,0.7027238879090729
2,25,37.80835159048148,1.9284579359001817,81.16,439.4,0.7405932913747052,8,30.611347517730493,0.9842095999227345,46,0.8613424507216869
3,27,31.958832950527828,1.3575245793231985,95.0,350.55555555555554,-0.22489183965005005,10,26.29180995475113,0.9168397520612024,51,0.8981828829581537
4,24,29.49284944597344,1.1203414169249681,121.125,476.5,-1.2189495314407963,15,28.034756097560965,0.9932334851768055,41,0.7862078428441293
5,21,25.56957587748147,1.4698667513007353,130.04761904761904,90.0,-1.2440348043134166,16,29.405909943714857,0.9741588141212074,40,0.8297634442066693
6,18,21.192059022296217,1.451382423320417,148.5,153.77777777777777,-0.20451304608525628,19,55.89076539101499,0.8892887265586109,29,0.8864807151765147
8,36,47.62280794363791,1.3586542390012857,191.5,363.6666666666667,0.5106307003543469,24,27.77796380090496,0.9801042059218,51,0.7612983158540334
9,20,25.810925049650816,1.2633875420107477,184.5,57.25,0.46605505353229976,25,35.74324324324323,0.9774187495624169,36,0.8392919473505809
10,16,22.014764356644303,1.5330200003338503,227.5,400.25,-0.5795491101747464,30,25.5560180995475,0.9781541847986488,51,0.9234643891553931
11,35,41.81695362284777,1.2746916035616698,230.4857142857143,226.0,-1.3094224246964277,31,23.712895927601796,0.8735813900077315,51,0.8047825730908257
13,23,33.88087709515341,2.1235836966777613,272.04347826086956,405.4347826086956,0.685782153733153,35,27.50151515151514,0.9163027397771656,45,0.6744841609242922
14,27,35.60494077528787,4.580343918630399,281.6666666666667,313.8888888888889,0.6903980352841305,36,29.18124999999996,0.9155173032451083,31,0.7534581692564064
17,40,46.20269486715477,2.5594896000160996,328.5,259.35,-0.0355539662084121,40,17.083484162895893,0.862810528533088,51,0.7973760932944577
19,17,24.648031064579015,1.212890939835613,327.2352941176471,185.0,-0.7301099046787044,42,28.550972024656247,0.9891868512110726,37,0.8438214907883124
23,32,47.83189850492057,1.2624818473854236,410.78125,424.875,0.7915251736661402,52,29.264117647058814,0.9713351481661407,51,0.8367113350762231
25,25,31.735857121528124,1.1717392038985264,422.0,346.08,0.43049423296215295,55,27.47927601809953,0.9840350303083464,51,0.7808499178246822
26,37,45.77431939318007,1.260252482260001,442.1621621621622,329.0,1.2025676946697008,58,35.58755656108596,0.9827848778472594,51,0.7675978970908618
28,31,36.02755130074101,2.8962175140171524,469.0,281.64516129032256,0.11836855434654528,60,42.827586206896555,0.9891880048773053,28,0.8416252314266304
29,11,16.442598539217446,1.115463609109821,490.45454545454544,336.0,-0.8758083446276206,63,21.453448275862048,0.9734899088085662,29,0.7202709467878635
30,29,38.813006712446224,1.6392839636393717,496.2413793103448,405.0,1.0391649185475227,64,25.43217194570134,0.9512172767211442,51,0.8117266708864224
