,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,16,23.145615392166597,1.1036249897047337,11.0625,10.5,0.9208778477598483,2,15.349638009049746,0.961237456870586,0.6522337394963034,3.585205573101103,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
3,3,23,26.548000633607753,1.2256994356466901,23.0,394.17391304347825,0.033655973661742715,6,18.495930263508104,0.9712787488338908,0.80381541610245,4.022741132844641,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,9,13.0325716603367,0.9048439560804867,18.666666666666668,104.0,-0.9129893587078576,10,20.41276018099547,0.9715844856406737,0.9443399803156391,1.19101873817309,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,12,14.39639783544707,1.2777395088294567,19.166666666666668,203.5,1.2827899415729203,12,13.178687782805422,0.8406859097628576,0.49442742037374243,2.028623504402132,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,13,16.929457461236854,1.0073588453573568,32.0,150.15384615384616,-0.4872594054924842,16,32.15080213903743,0.9616882550494688,0.9514807813484562,2.0857021067460795,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,13,16.046208132437695,1.5186134527953965,45.38461538461539,358.0,1.2001417737952085,28,23.0062443438914,0.9761686361914739,0.9231969848480378,1.6901200395467273,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
15,15,21,24.746698690331378,1.3834121222611955,54.285714285714285,165.0,1.3640194093263767,32,19.443846153846156,0.9622839850275258,0.8243560389990928,4.081212396812284,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
17,17,21,24.323390131666386,2.606618731275683,82.57142857142857,22.285714285714285,1.216826361576284,39,8.25398190045249,0.8806219159521247,0.47730600037593585,3.766322493774753,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
18,18,16,20.5403302096472,1.2378751466342153,87.6875,63.5,1.1136312403250683,41,16.194705882352935,0.9721141460138074,0.6038924193036224,3.4775703273149756,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
23,23,22,25.835343775712683,1.717042553706744,110.72727272727273,17.545454545454547,1.3291829411899958,51,14.249592760181022,0.9561769982561132,0.8363636363636361,4.404229241000999,NCD_YFP_ilid,0.001,0.04,20.0,0.0,5000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
