,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,59,86.06898621334531,4.262675812512943,34.355932203389834,438.0,-0.9121949604772955,2,103.90757575757578,0.9717648586818697,0.9666159721027432,3.247062397875113,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,40,46.21372810026889,4.98912167364334,54.5,61.25,0.04192863552296815,4,125.89732620320851,0.9931678430463492,0.9893077118192022,2.377287537759121,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
4,4,29,43.63942974894665,0.975163615075697,78.6896551724138,449.48275862068965,-0.7954038254846546,8,83.69924812030072,0.9790119783484734,0.9881979148508858,3.31824650549611,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,15,17.863299285599354,1.3777133913340562,79.06666666666666,495.0,1.314198597435097,9,57.602222222222245,0.8586793874606252,0.9879639760962882,2.4417427144613826,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
8,8,73,94.37509142325426,5.45040505370671,149.53424657534248,151.0,1.1033199992703788,14,136.39967123231824,0.9853966524192121,0.85887152954089,7.458762792408953,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,19,26.131227980202354,1.179665726932408,299.0,118.84210526315789,0.5770850575466656,23,71.89818548387095,0.9666518277568525,0.9072077609917816,3.435066326498389,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,71,82.87115598720946,1.6130763041710416,423.07042253521126,361.0,-1.4236216974124334,29,68.70547511312212,0.8269752463769398,0.6989291125932318,7.116832361127141,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,87,94.24037381428634,5.568078279648602,432.58620689655174,160.57471264367817,-1.539037473171388,30,184.7063201432605,0.9681350386472518,0.8898025474255385,5.0514140757176715,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
14,14,32,45.432637648716764,2.193840532127246,477.5,429.5625,0.6225122053405331,31,114.18615384615386,0.992217239708076,0.9929452062048296,3.751256844158884,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
