,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,22,25.564248033040013,1.6332696080708184,14.5,438.6818181818182,0.12130674735353236,2,65.22321266968326,0.9929983673088465,0.9835601361328651,1.8385860259654796,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
1,1,34,44.740391349247865,1.5202706162380613,25.5,312.38235294117646,0.50127378895875,3,69.98764705882353,0.9970101018751409,0.9736590664350203,2.7338818224602957,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
2,2,39,51.373834692242156,1.2062119542085583,18.923076923076923,332.0,1.067960808493031,4,69.4558371040724,0.9960463302797578,0.9573145348369172,,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
3,3,14,21.180556701900976,1.2273820827882456,43.785714285714285,53.5,0.8021985606054449,9,29.176696832579193,0.9207477336641724,0.7973399210074344,1.8364404456823453,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
5,5,32,41.13446155319585,1.3061671901608374,81.5,318.875,0.45619320173481603,13,62.15619909502263,0.9966814215213391,0.959704795072355,2.796150486337163,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
6,6,28,36.21911309782443,1.3969096646113235,85.82142857142857,48.5,-1.101589565261179,15,60.93959276018098,0.9971430738924305,0.950840345698524,3.2618276942943094,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
9,9,43,50.87714417182216,1.1779145527389758,170.0,311.3953488372093,-0.2211546558984836,25,66.06828054298644,0.9649537688177168,0.9287041383834359,4.631317534498227,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
10,10,56,42.950493376825804,9.332301612202654,170.92857142857142,62.57142857142857,-0.20741923021010467,26,127.2259298618491,0.8141474566290043,0.8975801996984516,3.5071712951133676,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
12,12,29,33.52785796381479,4.425816683847456,180.9655172413793,180.0,-1.5097041402075044,35,66.73920060331825,0.9391573278563075,0.9280641525563627,2.1409085336230294,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
13,13,12,14.243570528862307,1.4175991951937694,191.33333333333334,99.5,-1.3216527203036645,36,25.430851063829795,0.8337517068998412,0.8612035458882306,2.2393108613986237,NCD_YFP_ilid,0.001,0.04,100.0,0.0,20000.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,
