,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um)
0,0,20,26.392368681251885,1.0014366644349648,12.45,196.5,1.0628324878961624,1,153.19393939393908,0.9972412673942148,0.9362594116632462,3.3468628977656545
3,3,16,18.75934368164072,1.2347164184890667,318.5,439.3125,-0.1854502623201423,9,58.33153846153847,0.9378068075784007,0.9804874574943474,2.4114395836465627
4,4,28,32.31201042084079,2.019118546874645,344.5,437.75,0.007967453053038214,10,104.8493657505286,0.9919843797521529,0.9793968030739447,2.9592347473310077
5,5,15,12.415494159259117,4.064747402738503,378.2,417.6,-1.4866929408663536,11,61.808049535603736,0.9084263113269357,0.9672421191410501,1.8511189796277685
7,7,51,60.11192987670441,2.285963452231563,415.0,125.43137254901961,-0.20308254574113369,14,151.9287926260565,0.9954027868752754,0.9972029527995934,1.2281965100694772
8,8,61,70.69370589714173,2.9410677214557936,439.0,353.62295081967216,-0.08692339570734403,15,173.02564354582051,0.9913855067927698,0.9852048245879168,2.458924891614648
