,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um)
0,0,26,30.935103112437012,1.5504872806654368,6.5,399.5,-1.3239784607384164,1,115.70106951871654,0.9783311078314294,0.9604098355103345,1.1578852959782644
1,1,24,22.30079189299059,5.094355574879238,17.208333333333332,33.291666666666664,-0.16037212802597803,2,42.17697478991595,0.8820020048564332,0.8659615922831628,3.2209334504846003
2,2,12,14.381092734715944,1.035886405157039,9.583333333333334,451.5,-1.2868311301597908,3,77.65526315789477,0.9771834937236079,0.9333885409657884,1.8389549629607873
4,4,28,35.94355216088904,1.7785102962241572,64.5,499.85714285714283,0.4540571580229757,11,100.94951786727168,0.9892607151908291,0.9894053838717013,1.855778055936775
6,6,16,18.739424260959396,1.1275984958159888,83.5,19.1875,0.17960485343528118,17,63.397107897664114,0.9894416249055721,0.9641958041958042,2.377407840154282
7,7,30,42.3710286097827,2.9185881468954116,85.33333333333333,425.5,0.9546981510502907,18,62.232692307692304,0.9798932369660817,0.8701182869868465,3.2972256967841824
8,8,11,15.136035537769217,1.2296334605569417,124.81818181818181,455.09090909090907,0.9255056932451722,23,70.00000000000001,0.9778984651711925,0.9503907348063192,1.614384078960762
9,9,31,36.03735240785462,2.411853188430448,142.0,106.87096774193549,-0.12052788364969047,24,95.1414634146341,0.9557125951183695,0.837526094466092,2.3574444685606455
11,11,43,43.83676089033668,4.974770946334068,226.30232558139534,59.04651162790697,1.255388659871773,35,96.720090173257,0.9611975636336421,0.7981004041538491,1.6732418494308015
12,12,41,54.30988561023305,1.490693383716918,254.0,473.5853658536585,-0.5128467797952384,39,98.1371493212669,0.9404017872235554,0.7530442748810038,4.715430948600359
13,13,20,29.2776388088034,1.363768961829416,270.5,79.4,0.6644060371045802,40,42.11336898395721,0.9930172667918595,0.8312267032144877,3.7074678141033877
14,14,13,15.814799200789112,0.9844030250070983,269.0,411.0,-0.32965503416642894,41,41.00000000000001,0.9068834469840364,0.925309284310325,2.330315620910563
15,15,21,24.51981050245211,1.6478473413356864,275.0,115.66666666666667,0.1565812335491618,42,67.7847608453838,0.9915954598414214,0.878615705700463,2.34234234793626
16,16,30,36.45287334953295,1.3553278023413653,279.5,312.1333333333333,-0.318531180016327,43,99.01526425210639,0.9858923167356944,0.9314430051385394,2.52685168180882
18,18,20,24.84590551589577,1.1139924125326088,293.5,400.7,-0.38131236581101313,46,50.951764705882326,0.9841974657690306,0.9758551806378286,3.2981632992933223
19,19,28,39.29265968512514,5.085509322872535,301.5,210.67857142857142,-0.6112084927465321,47,91.42762580135236,0.9875182624885557,0.9852758742911153,1.146157763545712
20,20,15,18.11985507414753,1.2753068836345052,301.0,16.333333333333332,-0.30607624847254167,48,59.897727272727295,0.9854552573239578,0.8976303871439005,2.0423381490981307
21,21,31,35.85842859951644,2.2349851738165625,303.03225806451616,326.0,-1.5032965024403764,49,78.6586032388664,0.9746057452220849,0.8466677136250216,3.102270422083703
22,22,27,31.171242558980556,1.1977354106127742,305.81481481481484,62.0,-1.5390140130244656,50,99.28234970674484,0.9738017525437207,0.9258864038645807,2.8235622357894843
27,27,13,18.77947523127049,1.1067073517233785,342.53846153846155,457.7692307692308,-0.8223378320742182,59,30.135016595542915,0.909308807291393,0.867337235498226,3.0824429945695937
28,28,12,14.870582664162413,1.0430692453209807,361.1666666666667,347.5,1.1895238268665767,65,32.82241014799155,0.8803418381344308,0.8318008038427607,2.1963472765740417
29,29,14,19.790908588253696,1.242749792719497,371.7142857142857,47.642857142857146,-0.8832136757822361,66,30.248057774373557,0.8929828780610083,0.8007455935966669,2.9891694362009713
31,31,11,14.257434974864204,1.0748488282705655,378.6363636363636,485.0,1.089742817061154,71,36.76915708812261,0.9188249691893303,0.9720404521118382,2.3070129352886437
33,33,9,12.242273067679832,1.019965873583331,384.8888888888889,153.0,-1.0017874423496014,74,55.44240196078432,0.9617152771621433,0.9394360732070103,2.021637978660496
35,35,36,37.168220879837335,6.340533808229614,405.3888888888889,199.22222222222223,-1.122857759018096,77,94.32782258064512,0.9857375560638477,0.9496926894445505,2.156388780599491
36,36,28,40.00820056365185,1.7311698019251818,421.7142857142857,137.10714285714286,-0.6785319902892932,78,78.28752642706131,0.9937945809703844,0.9813759113432838,2.699976153895512
37,37,12,15.535641605690758,1.0951691445096012,417.4166666666667,320.5,1.09345224646839,80,47.3315789473684,0.9177726466990666,0.955292570677186,2.0282759084959956
38,38,13,14.966857576947165,1.4408381269475075,434.15384615384613,364.0,-1.565250479148036,85,56.12278225806454,0.9622140058960856,0.9569728803183348,1.8104785525475648
39,39,7,10.750199295466643,0.8234762090869209,437.85714285714283,291.0,-0.8366465130226236,86,44.584615384615425,0.8986520534139583,0.9043097151205257,1.4763562793255567
40,40,19,22.563022495434236,1.4835344944726794,452.0,305.2105263157895,0.24191317329908135,88,59.03333333333336,0.9773094038828305,0.8211082030206733,2.5028522544983294
41,41,11,15.491829406881623,1.0923846724967723,454.09090909090907,21.90909090909091,0.674862491570194,90,46.272727272727295,0.891373740258838,0.9689666036546944,1.9871134901989203
45,45,23,29.995560020679825,2.061857456869473,484.0,157.3913043478261,-0.48648807832237756,97,84.94679405471844,0.9796054605803091,0.9791603632905209,1.339342115904667
