,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
0,0,17,24.828508603366434,1.0332724142452303,24.58823529411765,26.0,-0.9089130226521962,2,29.140271493212644,0.9521187499999999,0.9548347733041807,3.1493404306261357,0.0625,600.0,1000.0,1000.0,0.0,420.0
2,2,31,38.950464805897305,1.864756385842503,70.0,128.83870967741936,0.4069498123886109,6,62.06149321266973,0.9765638661822483,0.9456615386546212,3.0544435353856385,0.0625,600.0,1000.0,1000.0,0.0,420.0
4,4,39,45.598184256491045,1.2332523587072708,163.0,321.1794871794872,-0.15968086918232696,14,78.18334841628953,0.9700153277537364,0.9583165254953612,3.8632135914388845,0.0625,600.0,1000.0,1000.0,0.0,420.0
6,6,32,39.499581041649066,3.9312812840342115,208.71875,328.1875,0.6278286522333637,20,57.624886877828025,0.9465808721483737,0.9601551316564241,3.1609462892365063,0.0625,600.0,1000.0,1000.0,0.0,420.0
8,8,52,65.07239116221679,2.3630295028733346,234.5,305.5,-1.1743928469366298,22,68.23194570135749,0.904637587728512,0.9774742335969906,7.591983338699114,0.0625,600.0,1000.0,1000.0,0.0,420.0
9,9,31,45.726893686177235,1.6032606130887397,258.0,22.838709677419356,0.6727630116762754,25,42.07855203619908,0.9909291288433943,0.9403816869991127,4.35531238942634,0.0625,600.0,1000.0,1000.0,0.0,420.0
10,10,32,39.63939249296571,1.0752036033300763,249.8125,467.5,1.198946071266215,26,25.68714932126697,0.9636395790147404,0.7973905890820434,5.544440598725556,0.0625,600.0,1000.0,1000.0,0.0,420.0
11,11,39,48.13491766941188,2.8144661477112867,299.0,435.2307692307692,0.3624608419039838,29,53.50882352941177,0.9376354191140001,0.8314792487864158,4.183278802929185,0.0625,600.0,1000.0,1000.0,0.0,420.0
12,12,16,24.058977974203184,1.0502756004049698,289.4375,29.5,-0.8724365898006408,31,53.322649572649574,0.9137743422030623,0.7880521741769407,2.747690056453665,0.0625,600.0,1000.0,1000.0,0.0,420.0
14,14,39,54.87916003360657,1.8860581748894305,323.0,407.8205128205128,0.609236802336945,35,60.89588235294116,0.9851227116282782,0.9572110296130444,5.139006223606902,0.0625,600.0,1000.0,1000.0,0.0,420.0
16,16,49,58.96044788983855,1.367357401079505,358.0,426.0,-0.28589460864912003,40,68.95316742081447,0.9940380529112223,0.9495247126181693,5.446134392704048,0.0625,600.0,1000.0,1000.0,0.0,420.0
17,17,17,22.833416790086766,1.3889547642895115,345.88235294117646,443.52941176470586,-0.7894483839096912,41,30.53873509136668,0.8526114074529731,0.7923561695988175,2.2904496247725192,0.0625,600.0,1000.0,1000.0,0.0,420.0
18,18,34,39.34583267292152,1.8194217666937376,367.5,176.58823529411765,-0.07245067115268117,43,29.919773755656124,0.9383397572448566,0.7312186095299789,4.2396366565376935,0.0625,600.0,1000.0,1000.0,0.0,420.0
19,19,38,34.28509780441826,8.906419724490153,358.8421052631579,136.60526315789474,1.4656842069381062,44,62.397794786704516,0.8864926183747035,0.9056912673502745,2.9271683790503524,0.0625,600.0,1000.0,1000.0,0.0,420.0
20,20,37,47.26291267134362,1.521021553435577,386.0,388.97297297297297,-0.4428654359642171,47,64.18243243243245,0.8636054370341252,0.3764238981328125,4.609001087883312,0.0625,600.0,1000.0,1000.0,0.0,420.0
21,21,37,53.76332885460614,3.7542885218014446,392.35135135135135,229.35135135135135,0.8584210814731708,49,59.46800904977377,0.8714141254018866,0.7631188253133133,5.390629178010498,0.0625,600.0,1000.0,1000.0,0.0,420.0
23,23,29,36.80435645555204,2.1935181498313696,446.0689655172414,101.0,-1.1407967752896593,54,63.31452488687782,0.9828523856857597,0.9844593766752151,3.2495324442136515,0.0625,600.0,1000.0,1000.0,0.0,420.0
24,24,37,45.31269160685364,2.387331385964701,463.27027027027026,381.0,1.2296131302753406,56,75.16733031674207,0.9876038380607992,0.9724624376569333,3.1262635162134047,0.0625,600.0,1000.0,1000.0,0.0,420.0
26,26,59,70.99966900805009,2.928360840788651,482.22033898305085,253.0,-1.2846399357612048,59,28.447527766351353,0.8645454359291839,0.9064612131875214,8.459877444660481,0.0625,600.0,1000.0,1000.0,0.0,420.0
29,29,17,24.08435918325081,1.8930877265638757,489.52941176470586,388.6470588235294,-0.7589753936998209,63,52.340909090909086,0.9908629816797702,0.917052090117338,2.472884114131278,0.0625,600.0,1000.0,1000.0,0.0,420.0
