,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
2,2,36,44.227751104683925,2.288966045065587,68.5,161.33333333333334,0.350038151893198,10,32.74890756302518,0.9528830626644588,0.7219882968940321,4.755295707638796,0.25,600.0,1410.0,0.0,0.0,860.0
4,4,17,21.917011059885954,1.1900640732391234,64.0,168.35294117647058,0.46512723662321803,13,31.229747899159648,0.9865565687125316,0.9815138853166588,1.6417200211706986,0.25,600.0,1410.0,0.0,0.0,860.0
7,7,40,51.43054241017167,1.7027352687760726,96.0,324.5,-1.114445922524441,21,28.983865546218457,0.9365100721088527,0.8140942344018707,5.883553606048869,0.25,600.0,1410.0,0.0,0.0,860.0
10,10,12,13.918227580671523,1.355911711060154,103.5,338.1666666666667,-0.12642183474506855,24,22.510777084515052,0.97535582743974,0.9379262059791361,1.918779824450409,0.25,600.0,1410.0,0.0,0.0,860.0
12,12,17,22.29646396797817,1.2571783058966726,118.0,319.6470588235294,0.49815195106773313,26,40.78989361702128,0.9741303006927847,0.9643863157144809,2.2819526790011344,0.25,600.0,1410.0,0.0,0.0,860.0
13,13,16,18.53175482767809,1.6043886707496584,119.5,338.0,0.10042389504697541,27,15.58588235294117,0.9733675733024691,0.9129586910738756,3.0054231049029188,0.25,600.0,1410.0,0.0,0.0,860.0
14,14,20,28.348534479334575,1.4562255573841698,130.5,159.7,0.6588903263191431,28,28.68235294117647,0.9711641153435386,0.8153169443057346,4.0233776814000155,0.25,600.0,1410.0,0.0,0.0,860.0
16,16,16,22.828429948477186,1.318251147342515,158.9375,70.5625,0.9108935292540088,37,31.276134453781502,0.9753599371235743,0.9478216346422739,3.1449924250834496,0.25,600.0,1410.0,0.0,0.0,860.0
17,17,13,17.992094370278423,1.25949010274966,166.23076923076923,414.0,0.9807816161852789,40,53.61234817813766,0.9700353840042129,0.9700726924412765,1.6648075854523925,0.25,600.0,1410.0,0.0,0.0,860.0
18,18,50,39.4264374335135,18.10973305438942,173.14,131.9,1.1931428694878878,42,73.63235044907643,0.9789920933832348,0.9974981440123343,4.968481759442654,0.25,600.0,1410.0,0.0,0.0,860.0
