,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,num points,skele r^2
1,18,27.15467040855781,1.3541608271563301,39.22222222222222,473.5,0.8688003067810228,6,16.593551797040178,0.9349412980182211,43,0.7136522510441206
2,23,28.239715855695465,1.7151935293920877,51.0,219.1304347826087,-0.3501180771013929,7,26.504545454545422,0.9873519635945615,45,0.8254965902343134
3,20,29.609767866990133,1.2734389906698602,54.55,479.5,0.8922760617192466,9,22.263167420814455,0.9037601194228958,51,0.8966016037388436
7,24,32.935223632317154,2.1392989143206407,104.20833333333333,105.5,-0.9972167659347293,17,21.053846153846145,0.9649309754433016,51,0.6451167211293879
9,18,20.831110247088155,2.0585639120104378,103.55555555555556,336.5,1.483470213376829,19,35.71590909090908,0.9109181006046596,23,0.7774990693022474
10,15,18.419181106306386,1.1644696626825919,112.0,359.3333333333333,0.3539707485346085,20,22.681818181818183,0.9570604134119943,22,0.7798451878739664
12,13,17.13601824579071,1.456088008808322,116.23076923076923,142.0,1.060119320566626,22,7.117511312217198,0.8695995616686347,51,0.5002062656215875
13,25,32.67063762432948,1.0349092809261442,127.32,266.0,-1.0817033815319845,25,18.460361990950215,0.9313710283112053,51,0.5366970305941141
14,10,11.519900879798758,1.3608393437918331,126.5,127.8,0.07362877138584639,26,14.217478991596652,0.9287990464590984,50,0.8512447903067517
17,46,53.94787787437004,2.320454024220456,168.56521739130434,295.5,1.3934891542746448,33,31.092669683257895,0.9444653542253518,51,0.5822009462819507
19,20,30.056045314316023,1.1109185675745004,188.45,496.1,-0.7128036160187676,37,15.48805429864253,0.958437502857748,51,0.8831937187352432
22,64,77.7229400869583,1.9375136745555324,250.5,273.15625,0.31538686729099175,46,43.84153846153844,0.950621456409178,51,0.8906364837679654
23,19,22.088567270006884,1.390874235305317,242.0,188.73684210526315,0.1278866355203588,48,23.04190283400811,0.9820525798791235,39,0.7544098311616827
24,24,27.690257825269576,1.462364680572461,241.83333333333334,145.5,-1.5603327382816128,50,35.2379679144385,0.9770669054515441,34,0.7532742799826448
26,22,31.09523926748119,2.8392431226765114,260.09090909090907,466.6818181818182,0.7645165923337727,54,33.23210246999308,0.9841777674962925,39,0.9663145955698096
27,29,33.697817025135656,1.1459718158770644,267.0,196.6551724137931,0.11733080704164449,55,29.868778280542976,0.9728118183620861,51,0.7784832382048383
29,26,32.66748371738082,3.5428073481378775,291.5,138.80769230769232,-0.902449613305023,58,19.47298642533936,0.9368823679003667,51,0.7157051542765771
31,27,34.07269655732877,1.8161120264022594,310.1111111111111,411.0,-1.1533530294436047,61,21.753212669683247,0.9796769833233814,51,0.8207250845507088
33,40,50.58259459469396,12.585353553589078,321.225,361.25,0.8696663532846803,64,20.123369256948386,0.8257441638712966,42,0.8009123453981635
34,32,38.53237850024951,1.48098180728516,318.4375,437.5,-1.2813901507251135,65,19.48027149321265,0.8858005854132994,51,0.542433781960511
35,17,20.721891265852523,1.2455196714616992,328.6470588235294,65.0,-1.2390036356108804,66,39.94736842105262,0.9301377410468319,20,0.6953071664375421
36,11,16.599303205990687,1.2728542214156773,334.0,248.36363636363637,-0.7068713553238528,68,18.92184873949579,0.8413243173027865,50,0.7826802813743157
37,20,23.551294021267044,1.4058982622619467,340.5,296.6,-0.20390937776849138,69,27.890090090090055,0.9749883535830118,36,0.9170513945978054
38,51,51.401078963542794,7.667181685696439,357.94117647058823,209.3921568627451,0.28089264081022536,70,35.20144796380097,0.9799652427525111,51,0.7069754764741272
40,17,21.198230316196984,1.2304162690045743,355.7647058823529,124.0,-1.1787965453395095,73,26.000407239819,0.9932584436673499,51,0.8553731853814552
41,20,24.519708223565456,1.274326736444171,370.35,179.5,1.2241318707384719,75,22.561855203619903,0.9885705704622404,51,0.759373848135831
43,30,43.93756299701259,3.095068136962169,444.9,493.3666666666667,0.7632164435926005,86,47.01789992952783,0.976540197205617,44,0.9677809130597875
44,34,40.477910260007015,1.3215118007669544,436.1764705882353,250.5,1.322997167116808,87,32.01787330316748,0.9784734005400525,51,0.7709536797925131
45,25,33.29589152446237,1.1389502145549686,454.0,113.52,0.523376211808878,90,26.247058823529468,0.986685088744819,50,0.8766465192281598
46,22,25.38432757493359,1.8271269543491406,469.5,410.3636363636364,0.023834478199625263,93,39.45283947915527,0.9553746911799605,38,0.8605436928017784
47,23,26.541796907182164,1.8614413791034494,474.0,65.43478260869566,0.02581304035127249,94,40.13103448275863,0.975573747441766,29,0.9021589269051646
