,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,num points,skele r^2
0,21,24.221716954055275,1.9914879285381857,36.523809523809526,143.0,1.5642587168145974,9,27.629623548276047,0.9874926782009097,47,0.8458932608589107
1,39,37.62077260075234,3.807189833987147,49.41025641025641,236.82051282051282,-0.8746552657394878,10,33.67886877828053,0.9725122845739889,51,0.9025482853893401
2,14,19.658690848560184,2.1345449828948118,42.07142857142857,276.35714285714283,0.8217676604083725,11,29.538306451612897,0.9784808597995411,31,0.9355121754562091
3,19,22.608419265817012,1.1017935097618181,43.36842105263158,406.0,-1.3210882822700927,12,29.49929078014184,0.9933980911177623,46,0.7671184236571581
5,19,26.730416889849334,1.0041706036470202,73.0,430.2631578947368,-0.6105350257306584,17,21.36710407239821,0.9611572495665693,51,0.9300573589806395
6,25,28.97157438048157,1.6689751095279455,88.0,29.92,-0.09388458086885808,18,25.81099547511312,0.936485786347519,51,0.6526775097598241
8,11,13.210682581345747,1.1600147973062278,83.0,282.90909090909093,0.29378952711469825,20,10.002398190045257,0.8750195167899211,51,0.8305777777777785
9,31,35.85078467950857,2.052157968484283,86.29032258064517,400.0,1.5065602859778848,21,29.264117647058814,0.9637084462232921,51,0.6570840612121909
11,18,27.383520771319883,1.1197773340283483,97.16666666666667,283.5,-0.8592853638309393,23,13.338959276018118,0.9432158480238441,51,0.8625662840160819
12,15,17.545660186334462,1.0948504530604348,98.0,88.13333333333334,-0.17392982176595512,24,14.06018099547512,0.9693951515476926,51,0.7311241732053025
13,22,26.398690862128287,1.1649268861529123,94.13636363636364,154.5,-1.2914160605289222,25,28.878009049773752,0.970890639366814,51,0.793819944199556
15,12,13.87002288589191,1.1353994061568522,114.25,423.5,1.4760327797357793,33,47.51909184726521,0.9627691655663683,18,0.8987293739707709
16,33,37.23413379281235,2.815312433205622,133.93939393939394,214.6060606060606,-0.37299289383523004,36,21.505520361991007,0.9289869468252048,51,0.08148367505945164
17,36,42.058805858754134,1.5178153101993948,123.13888888888889,469.5,-1.41547788653121,37,36.50547511312217,0.9526879088582116,51,0.7366002596739543
19,15,17.281975195754296,0.0,154.0,371.0,0.0,42,34.42923076923077,0.9476735158635682,25,0.7742923922315401
21,20,23.649829304887884,1.1338314908602298,157.25,127.5,-1.3477084078795891,45,30.575429864253383,0.975831453333764,51,0.7622099108911145
22,25,29.73936969231918,1.3188973817425436,159.88,323.0,-1.3245995686300494,46,25.94212669683257,0.9713019209764702,51,0.8123753437939847
23,14,17.52226722851592,1.1740163703216482,162.78571428571428,381.5,-1.1677096200671402,47,22.925299145299153,0.950372465913136,26,0.7654767761632834
24,20,24.18706549641361,1.4648763334146424,176.5,350.95,0.30635527863739087,50,23.715151515151504,0.9820010389965043,45,0.8645102285393417
25,14,16.867486478495355,3.755015951462203,187.07142857142858,56.214285714285715,0.6820231960417268,56,10.337511312217195,0.8346516445243028,51,0.930927942604467
26,15,22.573506409873545,0.8544832922481586,219.0,91.8,0.699446429132276,62,16.92321266968327,0.9869162289153731,51,0.9042864981280774
27,43,53.43691283760202,2.1990883194681237,240.0,441.86046511627904,-0.3796450150075429,64,31.027104072398167,0.9546916222859727,51,0.7930933111117149
28,21,26.51077434075858,1.4567616520806757,225.47619047619048,253.0,1.1514670313574715,65,55.73076923076929,0.961703199798438,14,0.8957348771266539
