,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,num points,skele r^2
1,13,16.259215407270577,1.2182233728380738,40.0,113.0,0.40263154982430666,6,28.238636363636356,0.983312834755009,23,0.7929140790714817
2,22,25.817546855695117,1.1921478527211284,44.04545454545455,289.5,1.3856286159749807,7,18.12524886877828,0.98788568838894,51,0.9424188811097385
4,18,26.102317939475668,1.886236219410384,59.166666666666664,208.66666666666666,-0.8601025321401784,11,20.52523452157598,0.9682740793803174,40,0.9091367160122701
6,16,21.408382473175774,1.9022775513106385,75.5,226.5625,0.5353134289912828,14,18.686199095022637,0.907252247288498,51,0.697702183236951
10,19,25.678100561868984,1.095558527625195,101.0,109.63157894736842,-0.5492376407602532,19,18.89746606334841,0.9375378842145456,51,0.8053262728367139
13,23,35.69721444121562,1.4208800235976817,131.04347826086956,397.5217391304348,0.7451068573073858,26,34.8696808510638,0.9628089502980077,47,0.9488240731641866
15,25,28.99982223516938,1.2683494504968071,137.76,488.0,-1.467122039354207,30,25.876561085972845,0.9190969897262127,51,0.8560246856650506
16,58,33.82742461204446,14.48752772060613,151.08620689655172,90.44827586206897,-1.5026116857551548,32,21.793902439024382,0.921817570466219,41,0.5790774750831528
17,23,26.936737580573926,1.3043747421800658,174.3913043478261,270.0,-1.397235429622762,38,32.39669683257917,0.9768054495267424,51,0.877059100596489
19,19,24.26407660062969,1.0405967357339798,220.0,364.63157894736844,-0.444682551496491,46,26.755300187617273,0.9677432589207439,40,0.854328785682868
20,32,41.13009681648415,1.500878365038511,231.5,193.0625,-0.45605600955364806,47,32.462262443438966,0.8755033591298175,51,0.6485233192360491
21,11,16.379878014583376,1.2048495105491843,235.0909090909091,414.3636363636364,-0.7407411669008372,48,19.62931034482759,0.8401183552698704,29,0.8868934240362811
23,21,24.382774933674412,1.0698998208941404,255.9047619047619,433.0,-1.4554995699867028,54,17.265610859728486,0.9297239877275124,51,0.8471558506077237
25,15,22.579195686464793,1.3767634901773145,266.8,115.66666666666667,-0.771676119286727,56,13.3975,0.9396130534956343,49,0.9039062500000001
26,17,24.343271068107384,1.6002696795248503,270.47058823529414,335.4117647058824,-0.7693503527872542,58,16.143710407239812,0.952902965849505,51,0.7871711247147736
28,24,34.76643753945583,1.1256300623822808,302.5,391.0416666666667,0.6498397675685631,63,23.392352941176462,0.9748885305278624,51,0.7631207999180805
29,29,43.5653012576558,1.9881535728755866,303.2413793103448,127.06896551724138,-0.8597433023036267,66,29.701221719457006,0.9642397501918499,51,0.94740764504297
30,6,7.057625639517946,0.9255198534259402,296.5,305.5,1.3146015966395277,68,23.522727272727277,0.8469465020576132,21,0.6568649290859128
31,30,42.79272422095432,2.1417745431751944,310.53333333333336,231.33333333333334,-0.6377400872487177,69,24.92950226244342,0.9725522037245847,51,0.7229163582917875
32,22,27.67630906708818,1.1232033851890333,315.5,270.54545454545456,-0.4108448442723976,70,25.94251012145752,0.9797553512958428,39,0.9605579389501583
33,43,53.36780235710406,2.2089124183014475,335.0,200.32558139534885,-0.37638358237131375,71,47.083393665158454,0.9791806723086407,51,0.9065796005721487
34,17,19.721565638650834,2.140640116850048,326.0,322.5882352941176,0.11361535077116348,72,30.402204836415347,0.9673891070041601,37,0.8733307991764454
35,22,25.41768159223158,1.2821629439251734,342.5,294.3636363636364,-0.05654942608063395,74,27.807104072398182,0.9453896884555572,51,0.7147949523843165
37,25,34.07272873314351,1.8127207941701127,345.04,361.56,0.5762388476485637,76,25.665294117647047,0.9731858715124193,51,0.7101623585507384
38,18,26.292652989529,0.9712426846359715,358.6111111111111,398.5,-0.9091192759526168,81,19.006742081447985,0.9434808688443358,51,0.8350704928719468
39,21,27.598696932003406,1.2630812988259459,368.0,222.0952380952381,0.5004923044011073,83,28.39171732522796,0.9860197689131203,48,0.9139926341478506
40,17,25.493746035274167,1.068446277921416,370.0,358.11764705882354,-0.8346296301722351,86,15.407918552036211,0.9377909673669445,51,0.8389698343268103
42,13,16.321414514428195,0.9860907634567707,402.53846153846155,25.0,-1.1596805404068158,93,20.20877828054298,0.9346130781121156,51,0.9351119318216704
43,28,32.624905763709656,1.546296903297124,405.92857142857144,278.5,-1.4318048754942028,94,28.258778280542984,0.9559663183297854,51,0.6805931670353838
45,29,40.55738657592115,2.0911879732855523,452.2413793103448,487.0,-0.9695762304264359,102,29.519095022624423,0.893065291064792,51,0.6870257002927823
