,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
0,0,35,32.212347766029275,7.71072393782106,101.2,387.85714285714283,0.0322688683825551,3,195.1958677685952,0.8783679485374446,0.5104953079782254,2.759458144604365,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
3,3,65,98.90584824140959,3.462468282285844,210.87692307692308,304.66153846153844,-0.8069145728825786,10,47.994027149321205,0.8490270498500394,0.49882658208813213,8.939458839708799,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
4,4,75,97.97931090801826,3.8024861152359604,246.08,391.0,1.0835396440388954,12,101.34986425339355,0.9056048573012343,0.8580975037345653,9.10058612804622,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
5,5,16,25.073922475523258,0.8206166531637834,270.5625,466.3125,-0.7674811201293487,17,107.92307692307695,0.9840365493147003,0.9773557341124909,2.044488675057005,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
7,7,52,66.36854414396154,1.7244548879951282,320.59615384615387,344.4230769230769,0.5486368727414624,20,103.57020757020759,0.9217345334047313,0.9539824802327446,4.878727735354565,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
8,8,81,77.13981187682279,8.277514641186794,332.5679012345679,177.320987654321,0.06212653609743703,21,171.68610152512525,0.9420050851807826,0.7060381661682745,6.0820900616639255,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
10,10,61,91.00118005113946,2.8852383674297446,397.3606557377049,334.73770491803276,0.858320971942631,24,109.80054298642527,0.9674956822021928,0.9418573306308514,6.305606823650259,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
13,13,9,10.89396438033851,1.1917657118807157,479.0,23.22222222222222,-0.3257935929614288,28,72.20606060606065,0.9815558802045289,0.8775510204081629,1.9026839828750324,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
