,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
3,3,31,34.35230438132828,6.606396131993861,96.6774193548387,29.838709677419356,0.365741106769426,12,121.12846251588297,0.9572512494280588,0.973081370838155,2.7162608820327168,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
4,4,77,93.07183659023467,5.1858923984125855,136.35064935064935,330.0779220779221,0.5717528036689193,16,140.8307167572911,0.8937783433160842,0.913552469709372,5.918384016637258,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
9,9,27,30.020425615130193,3.5736959023131374,231.4814814814815,402.7037037037037,-1.430808357595529,40,217.8799019607844,0.8302833167929924,0.4705882352941274,3.036458208294777,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
10,10,69,79.6913054467873,2.4708115895102805,260.7826086956522,134.0,-1.54556732376784,42,196.16879432624123,0.9954420880909611,0.9753737729562086,3.6793097328043474,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
11,11,16,22.243861712579662,1.1002800151018588,274.5,143.5,-0.9764037968333164,44,110.01666666666662,0.9688677374578624,0.849586776859504,2.474638024416989,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
12,12,11,15.806466663550344,1.2883104616033405,279.09090909090907,319.0,0.925206657624384,46,101.55384615384612,0.9346720246694751,0.9405351256275555,2.432137144258084,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
13,13,39,50.90219990119428,3.3515630488478085,318.2564102564103,429.1025641025641,0.6842165577012396,51,113.49627968049018,0.971971560003126,0.9691079267853115,3.1135061714289898,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
16,16,38,49.62584962243566,3.9175338431297577,327.13157894736844,172.39473684210526,1.0546272592495152,56,183.1065384615385,0.9907876954416757,0.9932816819542875,3.526398570278437,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
19,19,50,58.11482558569088,2.380892090105744,406.5,50.18,-0.11621518431047993,62,147.3149999999999,0.992514189504246,0.991443139404279,4.28405232823841,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
22,22,26,30.69728166715396,3.6434230310942626,494.03846153846155,330.34615384615387,0.4656092824167229,68,142.42307692307682,0.994328922495274,0.9729780801209373,1.978252420074747,NCD_YFP_ilid,0.001,0.04,300.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.2
