,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,eccentricity,label,perimeter,proj#,speed (nm/s),r^2,num points
10,10,15,19.211582612119106,1.7637032327686042,64.0,488.26666666666665,0.5443628164635333,0.9957770814452,17,15.899494936611665,0.0,69.84147851303292,0.887787231535854,61
51,51,13,17.873042918465853,1.7366275640493913,174.0,142.0,0.5814200993612377,0.9952683231627477,66,13.899494936611665,0.0,111.52263195905441,0.9736825971018567,50
85,85,13,17.910227376597177,2.5335788108480575,327.9230769230769,431.9230769230769,0.9364633069630467,0.9899439879427653,118,13.899494936611665,0.0,30.902714291952933,0.8202029338954311,110
95,95,23,29.501662698762175,1.3027918592402037,354.04347826086956,347.8695652173913,0.47401055151579735,0.9990244737176321,129,25.14213562373095,0.0,132.67682085895547,0.983433297346726,26
138,138,12,14.01601211527379,2.471226404045938,488.5833333333333,450.5,-1.3956128604916442,0.9843338819493842,184,11.863961030678928,0.0,189.3154468766633,0.8878084013447526,38
141,0,15,20.560332790856894,1.2335333064427825,9.133333333333333,49.0,0.9971330413788831,0.9981986304226226,1,16.52081528017131,1.0,69.22275899806924,0.9801907226569488,95
154,13,22,26.77409086539305,1.8915100839784875,55.5,244.36363636363637,-0.32529610119696134,0.9975013767971032,15,22.899494936611664,1.0,51.44958319182916,0.9318028887881651,105
156,15,14,17.8117514353716,1.1278843244924126,68.5,490.64285714285717,0.4397159731188219,0.99799311779584,17,14.278174593052023,1.0,88.6280637340511,0.9828656544157213,71
192,51,16,19.452841756392072,2.7544414317187695,168.5,139.0,0.32768339352787845,0.9899245519915808,59,16.48528137423857,1.0,83.98022489946952,0.9462708427024588,58
196,55,35,40.18135762050575,4.600857260133869,179.28571428571428,90.02857142857142,0.6494337357138553,0.9934229848056314,64,40.2842712474619,1.0,44.31830659087325,0.8481513327575443,125
228,87,16,18.439088914585774,0.0,329.5,255.0,0.0,1.0,117,14.0,1.0,69.48444401015718,0.8649158422538934,55
231,90,10,15.11691607209303,1.4278825124271963,332.5,437.2,0.7113025101073538,0.9955290430027609,121,10.69238815542512,1.0,39.93640894528439,0.9546051352541813,149
256,115,30,37.19019244111515,3.78309508406053,420.1,244.53333333333333,1.1791947113510397,0.994812769783992,151,32.55634918610404,1.0,51.92618229646695,0.9563948471566301,107
260,119,15,18.812430446526996,1.4403759637005848,437.0,35.13333333333333,0.40742173402753595,0.997064582989059,159,15.278174593052023,1.0,97.9464016488383,0.8564778560084888,75
275,0,14,19.843175759297555,1.196682604124285,12.785714285714286,54.42857142857143,0.9106126761510314,0.9981798758307016,1,15.520815280171307,2.0,69.49147152760207,0.9600671036918247,115
281,6,24,28.482960072020422,1.6326144615722256,50.541666666666664,245.70833333333334,-0.27424538898809,0.9983559152698428,10,24.485281374238568,2.0,50.87085325327784,0.8795270233648167,129
283,8,15,19.25356751098502,1.4855318127218586,73.0,492.6,0.4579739294199662,0.9970190184489116,12,16.106601717798213,2.0,92.618195324823,0.9548258690348136,72
