,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
3,3,16,19.11160355716819,1.088167943672377,78.1875,483.5,1.3042814895255914,7,93.3269230769231,0.8176366209204644,0.8977170240775768,2.0242845539359413,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
5,5,47,51.98886869819882,3.797320243708222,130.48936170212767,87.68085106382979,-0.14718744619424162,10,93.57476579227712,0.9152158812695148,0.697277413288708,5.046717931209296,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
7,7,46,54.44811735491852,3.2836684817193635,161.67391304347825,411.32608695652175,1.271743393740753,14,57.100361990950255,0.9055121548605152,0.9537069819978555,6.2652271603530485,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
9,9,14,17.048170279051867,2.5500484856782095,208.0,17.0,0.7127431580795972,19,41.938811188811165,0.9114454303860186,0.6666666666666679,1.9910661634009952,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
14,14,45,38.74733369343177,7.7290654439913595,271.0,94.82222222222222,-0.34454108617346946,26,83.51595744680851,0.9761693833631913,0.9874772203309315,3.204672175569431,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
18,18,30,34.92230176868521,1.4927808722118943,338.23333333333335,214.5,1.4393879099130669,37,46.62287996498525,0.9872265159624468,0.9122659943332895,3.4513819117435727,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
21,21,17,23.866227554917277,1.3238818926797569,393.2352941176471,216.0,-0.9622159658696737,41,51.810526315789446,0.9181915451131102,0.8864000000000006,2.1129821574061785,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
26,26,30,34.866383757396655,3.1912650423986832,441.5,319.03333333333336,0.11902697623868108,49,257.6,0.9140625,0.726708074534161,1.8421868029238644,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
