,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
1,1,31,31.95039181155206,5.210325239644374,20.129032258064516,492.96774193548384,0.33855584868351984,3,67.22727272727268,0.9412354436073932,0.8560557422929849,2.6991864763759374,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
2,2,34,47.684032281747065,1.1119917090141291,24.058823529411764,329.5,-0.966442989101376,5,59.32840336134453,0.9961470549059747,0.9487406513101311,4.0627226543393675,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
3,3,64,75.39667667505437,1.680928718688562,66.5,31.96875,-0.20018057644006598,7,23.28605042016802,0.9394844261731293,0.8776045983325719,,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
6,6,62,72.75840474416148,1.524060264004806,135.5,20.596774193548388,0.18009958366881057,13,62.741680672268856,0.9946877333702604,0.9914929885877111,,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
7,7,44,64.13797775665437,1.2974766473990933,131.25,466.5,0.9138287756748911,14,55.28890756302519,0.9969388169448715,0.9490206430982955,7.357950491665016,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
8,8,27,38.6637910489525,1.1000123431306432,146.0,179.77777777777777,-0.6340582868380231,17,51.7635294117647,0.9952048998119724,0.942676445039248,3.186569170700335,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
10,10,32,40.97679264842884,1.5398747506430077,159.46875,374.96875,0.4597355561868467,21,57.507731092436984,0.992455425158704,0.9630989185777246,3.221915689923843,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
13,13,17,23.907956096546236,1.8771846304583013,162.23529411764707,350.0,0.6962385113494672,24,57.113636363636346,0.9020569362435114,0.8378265200591333,2.201785834012457,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
14,14,23,33.140949603091,2.106509860175189,169.0,469.3478260869565,0.6439999119422546,26,69.36894934333968,0.9880764986182696,0.9861657210102514,2.1191528862386146,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
15,15,33,45.15752293363793,1.0624034122504218,224.0,294.54545454545456,-0.5673197583127629,31,46.691932773109194,0.9919142023322315,0.8979394200987562,4.367734289628276,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
16,16,20,25.78744311220139,1.252109314308071,225.5,388.3,-0.4642264241001487,33,34.766463414634124,0.9398580183261055,0.8696749129730554,2.5753255248921425,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
17,17,43,63.72614727419467,3.2440490079890436,241.8372093023256,127.11627906976744,0.7028312002175723,35,38.276638655462165,0.9939732138030868,0.8993574110233046,6.839769931008228,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
18,18,28,42.62446576496581,1.575261522256618,242.03571428571428,270.57142857142856,0.7787672076794203,36,54.995126050420154,0.9850247863062446,0.959434724022168,3.822116634166439,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
19,19,38,51.499373351121434,3.238040233321276,274.5,139.1315789473684,0.5527433835747226,39,72.0383193277311,0.8815797717720507,0.9360395398844871,4.240046932213444,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
23,23,20,29.43175152128399,1.5530622619192882,308.0,348.1,0.8140310160827146,45,54.69343715239151,0.9853587902653639,0.9380178650601328,2.405408332776503,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
24,24,35,53.28755054522155,2.6947071615255944,387.54285714285714,476.51428571428573,-0.7884694571552293,53,27.511092436974806,0.9832476267474516,0.9612403532877556,4.756866874521919,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
25,25,42,48.773247772230256,1.6796116811421484,406.5,416.3333333333333,0.10908810685688435,57,70.79747899159663,0.9946041253821761,0.9569352101709877,4.521024483114078,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
26,26,38,45.795730445206814,1.8361839790490178,405.5,26.473684210526315,-0.2917689608034349,58,70.13647058823527,0.9863456885383326,0.9764921295340054,2.710942894843227,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
29,29,36,44.00451699513257,1.1265658843386508,409.5,329.75,0.3354694248278179,61,53.63831932773106,0.9676414939353717,0.922436886594799,4.4738593498773565,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
33,33,27,36.15866515456898,2.184127509500381,441.962962962963,457.85185185185185,0.5463105825096464,65,41.29563025210082,0.9626411358365716,0.2347925526840201,4.147170849361029,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
34,34,45,63.83667091016244,1.6112077201579786,465.0,486.3777777777778,0.6204054830723861,69,70.92504201680667,0.984551368358907,0.9455531037990292,6.18542479074082,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
35,35,33,40.87818742223029,1.6698208875842984,462.0,440.8484848484849,0.37196153230010515,70,50.22890756302519,0.9848536195853551,0.9306759886509754,4.054203000194551,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
36,36,48,57.42014844029319,1.482358400667321,476.5625,194.5,-1.305562321776484,72,49.15428571428571,0.962463391945471,0.9017055687963709,5.70495426252348,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
38,38,12,15.176230594105936,1.1124659590650634,491.3333333333333,288.5,1.1417104470573394,75,42.95299145299145,0.9891483259935732,0.866050034987257,2.3818666282114203,NCD_YFP_ilid,0.001,0.04,40.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.5
