,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um)
0,0,25,22.431049858015182,5.3775833110456865,51.84,123.4,0.1318903135496304,4,173.91538461538443,0.9214976057887442,0.943051851851852,2.2848042064366707
2,2,32,39.87574085689598,2.9770440227979242,77.5625,32.5,1.1830304220767884,8,214.02500000000006,0.9765042107672357,0.9929909571296566,2.5714581057369745
4,4,11,14.054291517637667,1.271764838728644,116.9090909090909,394.0,-1.117814126634254,13,63.926470588235304,0.8713305898491084,0.7119446110587894,2.003509017139597
6,6,12,16.032074482133332,1.2803337322729391,121.5,364.5,-1.035904856799243,15,132.29020979020981,0.982363060208239,0.936245572609209,2.510839224159915
7,7,24,30.81671964265507,0.9842150958434732,135.54166666666666,492.5,-1.11608538428449,17,121.46590909090911,0.9741449370831687,0.9275073848072416,2.3172043310862906
8,8,17,25.83367915243518,1.0381564688813263,168.52941176470588,176.0,-0.860377250411857,24,138.121052631579,0.9951949013261069,0.9650948162077521,2.0354749966478467
9,9,58,77.39092084224492,1.6993938802894142,207.5,219.10344827586206,0.5252825639804822,29,155.25208144796375,0.987647242970518,0.9916153408397127,3.944819075557011
11,11,25,28.8574259724137,1.5730754103549212,218.0,441.72,0.030080417468017803,31,136.67307692307696,0.962213541030269,0.96956488318904,1.5326326986032348
12,12,22,20.83467684498326,8.149362461795002,224.9090909090909,72.72727272727273,-0.8654005387434667,33,118.09615384615383,0.911641347192414,0.9618902516700721,2.322156925015746
13,13,15,17.72933147742745,1.0581560623977662,247.46666666666667,496.0,-1.3452678841704753,38,99.9615384615386,0.9711175503171745,0.8531171984542246,2.353964328584061
15,15,54,69.4056874643443,2.6382355790868526,305.24074074074076,126.5,-1.1154002101653444,42,112.35031674208142,0.9345678830252714,0.933570680449326,3.2951529286967554
16,16,57,74.40366538792297,10.277097748021454,348.2631578947368,355.140350877193,-0.8692163559199925,45,131.93454376828134,0.9852683194558778,0.9951036365226283,2.6219468236805907
17,17,34,39.86453372800454,1.2869813095001998,382.5,142.38235294117646,0.17693222851089435,46,182.63636363636363,0.9978253347740048,0.9932757948684364,2.567031580531992
19,19,15,17.97699672990993,1.2332566262302795,414.8,398.0,-1.2911451506208496,52,133.68749999999994,0.9453948433344895,0.9913657770800628,2.2053658239360923
20,20,20,23.318687098773726,2.009684549745034,445.75,32.5,-1.4226366290623331,56,170.35220588235293,0.9639767984194878,0.986011117814953,2.5489618628506703
