,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um)
0,0,41,48.114478316307036,7.792670225712432,48.21951219512195,158.0731707317073,-1.3395578805119328,3,176.75140336808334,0.9349112909723337,0.9923462780741685,1.5258901191016707
1,1,13,16.642338230259067,1.9099640952233,108.84615384615384,431.2307692307692,0.9711487076870713,4,111.83749999999982,0.9867368045413392,0.9364720084502792,2.044057836937401
2,2,13,18.6528188140364,1.1100061280637876,218.0,335.15384615384613,0.6408467884664526,5,122.36996904024765,0.987459570603825,0.9890861476071522,2.2848904756317516
3,3,30,34.70236530755263,2.5775220346187795,253.46666666666667,255.96666666666667,-0.1313339035550768,7,168.02777777777774,0.9757485538917424,0.9889031129142959,2.2173052417777552
4,4,61,76.10769870284877,2.909885261183568,275.9344262295082,34.0,1.1816929438968804,9,158.82176470588226,0.9977255004568665,0.9946332417013839,2.8992333425775785
5,5,15,18.948971172119283,1.47679922895321,298.06666666666666,90.13333333333334,0.4739299602832231,11,122.28897058823539,0.9913165630982983,0.9789041932081488,1.8397702537963856
7,7,82,88.8408042015546,10.53857948406886,368.7317073170732,227.2439024390244,0.2942246929353586,13,169.76393665158366,0.9886818533750142,0.9915016824435284,3.3435684592573756
11,11,14,21.16171797153042,1.5179398779261069,430.7857142857143,466.5,0.8641468146229211,21,104.45454545454542,0.9842690620594894,0.9828887235625465,1.5415825145876758
12,12,14,16.36076158013632,1.0685537181385196,433.85714285714283,107.5,-1.400283572362589,23,132.89561403508768,0.9874655695604987,0.9629170228817495,1.9291146816735523
14,14,38,42.83031239712429,2.27519852549019,457.2631578947368,204.18421052631578,0.09779317066651362,25,178.2145566619251,0.9655389849364397,0.9683270493867644,2.427046574483162
