directory,key,atp (uM),A81D (uM),Tubulin (uM),expo405 (ms),expo480 (ms),interval (s),rep,pos,date,stop_idx
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 2, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,2,1,02_06_2025,71
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 2, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,2,0,02_06_2025,71
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 2, 2, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,2,2,02_06_2025,70
../../data/atp_cal/photobleaching/500ms_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3/500ms_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 0.5, 3, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,0.5,3,0,02_06_2025,200
../../data/atp_cal/photobleaching/1sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/1sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 1.0, 2, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,1.0,2,0,02_06_2025,200
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 3, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,3,1,02_06_2025,28
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 3, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,3,0,02_06_2025,28
../../data/atp_cal/photobleaching/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 10.0, 1, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,10.0,1,0,02_06_2025,74
../../data/atp_cal/photobleaching/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 10.0, 1, 2, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,10.0,1,2,02_06_2025,73
../../data/atp_cal/photobleaching/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 10.0, 1, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,10.0,1,1,02_06_2025,73
