,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),motor conc,MT dilute,ATP,ADP,P,time (seconds)
3,3,53,67.1958701670577,2.2907654532116464,73.22641509433963,404.9811320754717,1.1399406153304399,6,124.50909502262441,0.9259647947311532,0.7318404421994538,7.068316806348578,0.031,200.0,1410.0,0.0,0.0,660.0
8,8,27,40.35412158532434,1.4629446857888202,104.03703703703704,380.44444444444446,0.6985506709804417,12,28.098506787330297,0.9046691630957538,0.6209422598799244,4.812572210806821,0.031,200.0,1410.0,0.0,0.0,660.0
22,22,47,49.575317633445366,4.525964044653208,362.51063829787233,264.1489361702128,0.31180546525084657,40,55.334010840108384,0.9297697207072609,0.9770773559226784,5.806454524997761,0.031,200.0,1410.0,0.0,0.0,660.0
25,25,10,11.489125293076057,0.0,396.5,156.0,0.0,49,71.8750000000001,0.9376000000000004,0.3999999999999674,1.751876587002889,0.031,200.0,1410.0,0.0,0.0,660.0
26,26,75,93.19054180233519,6.699126537467206,458.6666666666667,118.25333333333333,0.852435511052957,54,77.30275733487505,0.9005023118192016,0.10523383894111593,10.32382976250231,0.031,200.0,1410.0,0.0,0.0,660.0
30,30,30,44.62609598363238,2.6222131309398695,476.8666666666667,90.13333333333334,-0.7907729518836789,61,37.96977375565611,0.9739079405673233,0.8463074943877913,4.681382539249004,0.031,200.0,1410.0,0.0,0.0,660.0
