,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um)
2,2,28,32.914838860711725,1.4642387162888189,12.392857142857142,263.5,1.3787591151620509,3,44.6818487394958,0.9742621688488645,0.9174211181770998,
3,3,15,19.510029430363325,2.49062162337063,35.266666666666666,408.46666666666664,0.6302283442579258,7,18.3381512605042,0.9386119041999266,0.9122164513999081,2.070926656761939
4,4,35,42.66320113805775,3.7223872196228123,55.0,56.65714285714286,-0.32862596531203214,8,79.6747527374586,0.8914640723240198,0.4587099764988988,4.154065139003364
5,5,25,31.95434848360281,3.4392459912705746,78.16,418.24,0.8156012597473846,11,48.51647058823526,0.9796295253680655,0.9869153693801928,2.7159617410975927
9,9,11,12.691723692616437,1.1403135531663255,80.18181818181819,377.0,1.4884940969042568,15,9.335294117647061,0.8532409157739971,0.7682283104476901,2.609115642790958
13,13,61,71.36112821904766,1.4666479718040872,164.81967213114754,423.0,1.4088047182600703,26,66.5299159663865,0.9974788477186408,0.9935066989067665,8.308165739236472
14,14,32,47.78134877316522,2.326254374986167,175.53125,173.96875,0.695011220349976,28,35.96890756302521,0.9747184624237835,0.8670108321616892,6.338944739642384
15,15,32,36.93560934485528,3.1142033209537665,180.5,39.9375,-0.01329019945141728,29,52.86562454121921,0.9339260922497846,0.16231114141779712,4.05370547932761
17,17,78,56.199601306767725,20.589231409676717,226.65384615384616,195.19230769230768,0.6834394457428142,38,16.227563025210074,0.9196602388532754,0.7128429202731059,8.020119799666949
22,22,16,19.657354624296637,1.827131405959517,233.5,322.125,0.3555165031747971,46,9.729579831932774,0.9269450849045718,0.8313448583718857,2.3813603750037
25,25,30,40.455943220653154,1.9301676134929806,253.7,70.53333333333333,1.0161070231318223,51,52.018655462184874,0.8764235513634375,0.8775217480796419,4.1502272402674505
27,27,32,44.43579684386804,0.9717684140201732,277.5,347.03125,0.5898015983551601,57,54.53512605042013,0.9957410446803142,0.9519648992387771,4.014595438483673
28,28,44,49.99385999121754,2.9447944611138905,274.8863636363636,232.27272727272728,1.4219747533368017,58,27.974957983193296,0.8982913122688401,0.8384985324134198,5.416466254753219
29,29,35,50.9197086327955,1.6775855147724028,296.1142857142857,271.6,-0.6872384005130603,59,46.310220364741596,0.9875015044890857,0.9129645553444359,5.0860160807817545
32,32,40,58.29574908083962,1.4545236690361971,339.425,102.75,0.6702416960556059,65,36.58872212885151,0.9403590614636463,0.8555536999374671,6.899091728192029
33,33,25,30.865236685140513,1.8972517941106561,329.56,206.0,1.2062072777879067,66,39.4931623931624,0.9697458995495879,0.9462255104512911,3.8400637383985545
34,34,22,28.026233412640412,1.2797182177053925,353.5,237.6818181818182,-0.43877961332632553,70,59.2051724137931,0.9546394000311343,0.9486989555495916,2.8253496220309176
35,35,22,32.8533944310141,1.9900400709981931,359.1363636363636,135.04545454545453,0.8031083785720949,73,33.552941176470576,0.9859703433922997,0.9656525009974751,3.770248807123557
36,36,40,46.7455911517113,1.6881077800453392,371.5,318.0,0.15670194494763506,75,57.37630252100839,0.99687833740007,0.9485111153643272,4.811896239380703
38,38,26,30.13475612435522,1.8881505180705196,369.03846153846155,492.5,-1.4760037953293312,79,40.159159663865545,0.9837030439014084,0.3322899261814265,2.7598132445346053
40,40,25,29.301094257248003,1.3264521581527542,391.48,168.0,-1.3938274623260922,81,53.26633064516132,0.9665195008617166,0.9315790138449966,3.6140990726735915
42,42,29,34.015810239332176,1.4415417387555236,410.0,116.96551724137932,0.18013721136872005,83,51.999327731092436,0.947662348364498,0.9684187311694297,3.94863620480866
44,44,24,35.93938818036239,1.2580140871430505,418.6666666666667,133.75,-0.7318529326376633,86,54.73613445378152,0.9759828553416963,0.9615398932385877,3.511327119993057
48,48,35,44.63280325914939,1.3368466420460547,488.0,375.8,-0.43934651430968924,94,53.59579831932772,0.9907668102948828,0.9277427224860187,4.40244065480456
