,index,area,major_axis_length,minor_axis_length,centroid-0,centroid-1,orientation,label,speed (nm/s),r^2,skele r^2,MT len (um),Motor Type,Motor_Conc_uM,MT_Conc_uM,ATP_Conc_uM,ADP_Conc_uM,P_Conc_uM,Flag_Conc_mg-ml,BSA_Caesin_Both,Acq_Time_s,Time_Interval_s,Cy5_exptime_ms,Cy5_gain,YFP_exptime_ms,YFP_gain,Temperature
2,2,45,53.50252143243277,1.8821324592847752,52.733333333333334,372.0,1.3290497024599766,5,71.78705882352936,0.9852642834481485,0.9069317406516822,4.562665056194195,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
4,4,57,80.26298938095171,2.1463023578082976,88.0,343.7543859649123,-0.6098059800316772,10,122.76391108077209,0.9721183427286013,0.8609738055723477,6.874899334514704,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
6,6,50,57.90294612556908,1.3353763437492203,96.5,443.46,0.07877445620084002,14,127.31357063403787,0.9840257383697323,0.9942219818177412,6.019432455013022,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
7,7,35,48.86519509901642,1.5897804290570337,95.02857142857142,308.34285714285716,-0.6046823402102497,16,123.70392156862748,0.9546084827464575,0.9619054745392792,4.758701638767386,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
8,8,16,18.45969081208653,1.7999486443140837,88.0,369.5,-1.5233204736235184,17,130.03846153846155,0.9857466796242307,0.9624506263879706,2.350822494796645,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
9,9,17,20.375121891135088,1.1389971447647358,91.17647058823529,465.0,1.2929005224959698,18,42.06774193548384,0.993388965096784,0.8172471011428016,1.946987202958271,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
13,13,51,59.82407991485694,2.900614522677662,157.7843137254902,134.0,-1.3925428282450734,24,99.67697478991593,0.9254850685331936,0.9135102370593233,4.514292561555982,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
15,15,28,44.988392482899684,0.8229185049567718,190.5,129.32142857142858,-0.7697360293127393,28,76.5454545454546,0.8942894138489403,0.9460596004763664,3.6075367488326098,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
16,16,30,46.111695275167115,1.1720840722205699,221.93333333333334,455.5,0.8490243168659736,30,12.400672268907549,0.9182852563105949,0.602396404131209,6.924639667433939,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
17,17,18,15.466869258637463,5.405589679272731,249.66666666666666,138.66666666666666,-0.9007011315272246,33,82.98602941176476,0.9055883077161017,0.9608213549800958,2.4738926991784465,NCD_YFP_ilid,0.001,0.04,100.0,0.0,0.0,0.02,Both,100.0,1.0,60.0,300.0,100.0,4.0,27.3
